file,ente,data_riferimento,tema,caption_num,caption_title,page,anchor,col_index,header_above,valore_raw,valore_num,unit_guess,quality_flag
2023/ANPAL_Nota_1-2023_Focus148_dati_31-01-2023.pdf,ANPAL,2023-01-31,A3,1,Numero di presi in carico GOL per Regione: totale e tasso di crescita nell’ultimo mese,4,Abruzzo,0,tasso di crescita | Numero | mensile dello | presi in | stock di presi | carico | carico,11.517,11517,count,ok
2023/ANPAL_Nota_1-2023_Focus148_dati_31-01-2023.pdf,ANPAL,2023-01-31,A3,1,Numero di presi in carico GOL per Regione: totale e tasso di crescita nell’ultimo mese,4,Abruzzo,1,tasso di crescita | Numero | mensile dello | presi in | stock di presi | carico | carico,"15,6",15.6,percent,ok
2023/ANPAL_Nota_1-2023_Focus148_dati_31-01-2023.pdf,ANPAL,2023-01-31,A3,1,Numero di presi in carico GOL per Regione: totale e tasso di crescita nell’ultimo mese,4,Basilicata,0,tasso di crescita | Numero | mensile dello | presi in | stock di presi | carico | carico,7.590,7590,count,ok
2023/ANPAL_Nota_1-2023_Focus148_dati_31-01-2023.pdf,ANPAL,2023-01-31,A3,1,Numero di presi in carico GOL per Regione: totale e tasso di crescita nell’ultimo mese,4,Basilicata,1,tasso di crescita | Numero | mensile dello | presi in | stock di presi | carico | carico,"10,2",10.2,percent,ok
2023/ANPAL_Nota_1-2023_Focus148_dati_31-01-2023.pdf,ANPAL,2023-01-31,A3,1,Numero di presi in carico GOL per Regione: totale e tasso di crescita nell’ultimo mese,4,P.A. Bolzano,0,tasso di crescita | Numero | mensile dello | presi in | stock di presi | carico | carico,2.671,2671,count,ok
2023/ANPAL_Nota_1-2023_Focus148_dati_31-01-2023.pdf,ANPAL,2023-01-31,A3,1,Numero di presi in carico GOL per Regione: totale e tasso di crescita nell’ultimo mese,4,P.A. Bolzano,1,tasso di crescita | Numero | mensile dello | presi in | stock di presi | carico | carico,"17,3",17.3,percent,ok
2023/ANPAL_Nota_1-2023_Focus148_dati_31-01-2023.pdf,ANPAL,2023-01-31,A3,1,Numero di presi in carico GOL per Regione: totale e tasso di crescita nell’ultimo mese,4,Calabria,0,tasso di crescita | Numero | mensile dello | presi in | stock di presi | carico | carico,33.997,33997,count,ok
2023/ANPAL_Nota_1-2023_Focus148_dati_31-01-2023.pdf,ANPAL,2023-01-31,A3,1,Numero di presi in carico GOL per Regione: totale e tasso di crescita nell’ultimo mese,4,Calabria,1,tasso di crescita | Numero | mensile dello | presi in | stock di presi | carico | carico,"15,8",15.8,percent,ok
2023/ANPAL_Nota_1-2023_Focus148_dati_31-01-2023.pdf,ANPAL,2023-01-31,A3,1,Numero di presi in carico GOL per Regione: totale e tasso di crescita nell’ultimo mese,4,Campania,0,tasso di crescita | Numero | mensile dello | presi in | stock di presi | carico | carico,111.878,111878,count,ok
2023/ANPAL_Nota_1-2023_Focus148_dati_31-01-2023.pdf,ANPAL,2023-01-31,A3,1,Numero di presi in carico GOL per Regione: totale e tasso di crescita nell’ultimo mese,4,Campania,1,tasso di crescita | Numero | mensile dello | presi in | stock di presi | carico | carico,"16,4",16.4,percent,ok
